,Zones,Value,Occupancy Type,Unit
247,Zone 2,1061.4285978,Working Hours,CO2 [ppm]
248,Zone 2,1060.09265143,Working Hours,CO2 [ppm]
249,Zone 2,1061.55004747,Working Hours,CO2 [ppm]
250,Zone 2,1065.88175238,Working Hours,CO2 [ppm]
251,Zone 2,1069.44427605,Working Hours,CO2 [ppm]
252,Zone 2,1071.14457143,Working Hours,CO2 [ppm]
253,Zone 2,1077.94575297,Working Hours,CO2 [ppm]
254,Zone 2,1080.13184703,Working Hours,CO2 [ppm]
255,Zone 2,1078.43155165,Working Hours,CO2 [ppm]
256,Zone 2,1077.45995429,Working Hours,CO2 [ppm]
257,Zone 2,1087.66172659,Working Hours,CO2 [ppm]
258,Zone 2,1098.10639824,Working Hours,CO2 [ppm]
259,Zone 2,1102.96438505,Working Hours,CO2 [ppm]
260,Zone 2,1087.38846483,Working Hours,CO2 [ppm]
261,Zone 2,1080.49619604,Working Hours,CO2 [ppm]
262,Zone 2,1076.85270593,Working Hours,CO2 [ppm]
263,Zone 2,1072.72341714,Working Hours,CO2 [ppm]
264,Zone 2,1073.93791385,Working Hours,CO2 [ppm]
265,Zone 2,1068.22977934,Working Hours,CO2 [ppm]
266,Zone 2,1073.33066549,Working Hours,CO2 [ppm]
267,Zone 2,1076.76161868,Working Hours,CO2 [ppm]
268,Zone 2,1074.42371253,Working Hours,CO2 [ppm]
269,Zone 2,1080.98199472,Working Hours,CO2 [ppm]
270,Zone 2,1082.80373978,Working Hours,CO2 [ppm]
271,Zone 2,1095.07015648,Working Hours,CO2 [ppm]
272,Zone 2,1110.25136527,Working Hours,CO2 [ppm]
273,Zone 2,1013.65195604,Working Hours,CO2 [ppm]
274,Zone 2,1011.70876132,Working Hours,CO2 [ppm]
275,Zone 2,997.37770022,Working Hours,CO2 [ppm]
276,Zone 2,994.098559121,Working Hours,CO2 [ppm]
277,Zone 2,991.183767033,Working Hours,CO2 [ppm]
278,Zone 2,991.062317363,Working Hours,CO2 [ppm]
279,Zone 2,992.641163077,Working Hours,CO2 [ppm]
280,Zone 2,995.434505495,Working Hours,CO2 [ppm]
281,Zone 2,995.313055824,Working Hours,CO2 [ppm]
282,Zone 2,999.320894946,Working Hours,CO2 [ppm]
283,Zone 2,1000.65684132,Working Hours,CO2 [ppm]
284,Zone 2,1002.11423736,Working Hours,CO2 [ppm]
285,Zone 2,1000.19128425,Working Hours,CO2 [ppm]
286,Zone 2,995.313055824,Working Hours,CO2 [ppm]
287,Zone 2,988.653565568,Working Hours,CO2 [ppm]
288,Zone 2,987.661726593,Working Hours,CO2 [ppm]
289,Zone 2,996.891901539,Working Hours,CO2 [ppm]
290,Zone 2,991.993431502,Working Hours,CO2 [ppm]
291,Zone 2,989.726370989,Working Hours,CO2 [ppm]
292,Zone 2,986.811578901,Working Hours,CO2 [ppm]
293,Zone 2,971.144571429,Working Hours,CO2 [ppm]
294,Zone 3,706.317666227,Working Hours,CO2 [ppm]
295,Zone 3,710.028081465,Working Hours,CO2 [ppm]
296,Zone 3,714.166621538,Working Hours,CO2 [ppm]
297,Zone 3,714.166621539,Working Hours,CO2 [ppm]
298,Zone 3,716.164537436,Working Hours,CO2 [ppm]
299,Zone 3,717.877036777,Working Hours,CO2 [ppm]
300,Zone 3,713.738496703,Working Hours,CO2 [ppm]
301,Zone 3,723.846999756,Working Hours,CO2 [ppm]
302,Zone 3,740.282236483,Working Hours,CO2 [ppm]
303,Zone 3,741.852027546,Working Hours,CO2 [ppm]
304,Zone 3,736.714529524,Working Hours,CO2 [ppm]
305,Zone 3,740.710361319,Working Hours,CO2 [ppm]
306,Zone 3,736.571821245,Working Hours,CO2 [ppm]
307,Zone 3,736.286404689,Working Hours,CO2 [ppm]
308,Zone 3,729.293699048,Working Hours,CO2 [ppm]
309,Zone 3,715.046655922,Working Hours,CO2 [ppm]
310,Zone 3,713.310371868,Working Hours,CO2 [ppm]
311,Zone 3,708.172873846,Working Hours,CO2 [ppm]
312,Zone 3,707.173915897,Working Hours,CO2 [ppm]
313,Zone 3,701.751001319,Working Hours,CO2 [ppm]
314,Zone 3,701.132598779,Working Hours,CO2 [ppm]
315,Zone 3,695.757253627,Working Hours,CO2 [ppm]
316,Zone 3,688.907256264,Working Hours,CO2 [ppm]
317,Zone 3,683.627049964,Working Hours,CO2 [ppm]
318,Zone 3,677.918718828,Working Hours,CO2 [ppm]
319,Zone 3,675.778094652,Working Hours,CO2 [ppm]
320,Zone 3,680.059343004,Working Hours,CO2 [ppm]
