,Occupancy Type,Zones,Value,Unit
224,Working Hours,Zone 3,24.8717499312,Operative Temp. [deg. C]
225,Working Hours,Zone 3,24.9740001875,Operative Temp. [deg. C]
226,Working Hours,Zone 3,24.9990279722,Operative Temp. [deg. C]
227,Working Hours,Zone 3,25.0561251125,Operative Temp. [deg. C]
228,Working Hours,Zone 3,25.0568056736,Operative Temp. [deg. C]
229,Working Hours,Zone 3,25.0157501875,Operative Temp. [deg. C]
230,Working Hours,Zone 3,25.1391247813,Operative Temp. [deg. C]
231,Working Hours,Zone 3,25.2021872969,Operative Temp. [deg. C]
232,Working Hours,Zone 3,25.25487505,Operative Temp. [deg. C]
233,Working Hours,Zone 3,25.250139,Operative Temp. [deg. C]
234,Working Hours,Zone 3,25.2330000313,Operative Temp. [deg. C]
235,Working Hours,Zone 3,25.0541666111,Operative Temp. [deg. C]
236,Working Hours,Zone 3,24.9761251938,Operative Temp. [deg. C]
237,Working Hours,Zone 3,24.892875125,Operative Temp. [deg. C]
238,Working Hours,Zone 3,24.9366668889,Operative Temp. [deg. C]
239,Working Hours,Zone 3,24.8277500687,Operative Temp. [deg. C]
240,Working Hours,Zone 3,24.957083375,Operative Temp. [deg. C]
241,Working Hours,Zone 3,24.886250175,Operative Temp. [deg. C]
242,Working Hours,Zone 3,24.7362499688,Operative Temp. [deg. C]
243,Working Hours,Zone 3,24.6663888819,Operative Temp. [deg. C]
244,Working Hours,Zone 3,24.8505001062,Operative Temp. [deg. C]
245,Working Hours,Zone 3,25.4747222639,Operative Temp. [deg. C]
246,Working Hours,Zone 3,25.376625075,Operative Temp. [deg. C]
247,Working Hours,Zone 3,25.2743055903,Operative Temp. [deg. C]
248,Working Hours,Zone 3,25.26125,Operative Temp. [deg. C]
249,Working Hours,Zone 3,25.1427499438,Operative Temp. [deg. C]
250,Working Hours,Zone 3,25.0037501125,Operative Temp. [deg. C]
251,Working Hours,Zone 3,25.0095833958,Operative Temp. [deg. C]
252,Working Hours,Zone 3,25.0807501625,Operative Temp. [deg. C]
253,Working Hours,Zone 3,25.1234722569,Operative Temp. [deg. C]
254,Working Hours,Zone 3,25.1526250687,Operative Temp. [deg. C]
255,Working Hours,Zone 3,25.3193057292,Operative Temp. [deg. C]
256,Working Hours,Zone 3,25.3219998687,Operative Temp. [deg. C]
257,Working Hours,Zone 3,25.398000075,Operative Temp. [deg. C]
258,Working Hours,Zone 3,25.3588887083,Operative Temp. [deg. C]
259,Working Hours,Zone 3,25.4403751313,Operative Temp. [deg. C]
260,Working Hours,Zone 3,25.3922222917,Operative Temp. [deg. C]
261,Working Hours,Zone 3,25.3726248187,Operative Temp. [deg. C]
262,Working Hours,Zone 3,25.363499925,Operative Temp. [deg. C]
263,Working Hours,Zone 3,25.2073609653,Operative Temp. [deg. C]
264,Working Hours,Zone 3,25.2091251438,Operative Temp. [deg. C]
265,Working Hours,Zone 3,25.1444445347,Operative Temp. [deg. C]
266,Working Hours,Zone 3,25.0732500438,Operative Temp. [deg. C]
267,Working Hours,Zone 3,25.03712515,Operative Temp. [deg. C]
268,Working Hours,Zone 3,25.0449999097,Operative Temp. [deg. C]
269,Working Hours,Zone 3,25.1044998625,Operative Temp. [deg. C]
270,Working Hours,Zone 3,25.1737499791,Operative Temp. [deg. C]
271,Working Hours,Zone 3,,Operative Temp. [deg. C]
272,Working Hours,Zone 3,,Operative Temp. [deg. C]
273,Working Hours,Zone 3,,Operative Temp. [deg. C]
274,Working Hours,Zone 3,,Operative Temp. [deg. C]
275,Working Hours,Zone 3,,Operative Temp. [deg. C]
276,Working Hours,Zone 3,,Operative Temp. [deg. C]
277,Working Hours,Zone 3,,Operative Temp. [deg. C]
278,Working Hours,Zone 3,,Operative Temp. [deg. C]
279,Working Hours,Zone 3,,Operative Temp. [deg. C]
280,Working Hours,Zone 3,,Operative Temp. [deg. C]
281,Working Hours,Zone 3,,Operative Temp. [deg. C]
282,Working Hours,Zone 3,,Operative Temp. [deg. C]
283,Working Hours,Zone 3,,Operative Temp. [deg. C]
284,Working Hours,Zone 3,,Operative Temp. [deg. C]
285,Working Hours,Zone 3,24.7021875156,Operative Temp. [deg. C]
286,Working Hours,Zone 3,24.5760415416,Operative Temp. [deg. C]
287,Working Hours,Zone 3,,Operative Temp. [deg. C]
288,Working Hours,Zone 3,,Operative Temp. [deg. C]
289,Working Hours,Zone 3,,Operative Temp. [deg. C]
290,Working Hours,Zone 3,,Operative Temp. [deg. C]
291,Working Hours,Zone 3,,Operative Temp. [deg. C]
292,Working Hours,Zone 3,24.4174995,Operative Temp. [deg. C]
293,Working Hours,Zone 3,24.8937501875,Operative Temp. [deg. C]
294,Non-working Hours,Zone 3,25.3941666875,Operative Temp. [deg. C]
295,Non-working Hours,Zone 3,25.4373752063,Operative Temp. [deg. C]
296,Non-working Hours,Zone 3,25.4390281181,Operative Temp. [deg. C]
297,Non-working Hours,Zone 3,25.4440001625,Operative Temp. [deg. C]
298,Non-working Hours,Zone 3,25.4892502937,Operative Temp. [deg. C]
299,Non-working Hours,Zone 3,25.5340274653,Operative Temp. [deg. C]
300,Non-working Hours,Zone 3,25.566499775,Operative Temp. [deg. C]
