,Occupancy Type,Zones,value
2015-10-13 10:20:00,Occupied,Zone 3,26.7548750938
2015-10-13 10:30:00,Occupied,Zone 3,26.7893750687
2015-10-13 10:40:00,Occupied,Zone 3,26.8801393472
2015-10-13 10:50:00,Occupied,Zone 3,26.9128750437
2015-10-13 11:00:00,Occupied,Zone 3,26.9476387778
2015-10-13 11:10:00,Occupied,Zone 3,26.93674995
2015-10-13 11:20:00,Occupied,Zone 3,26.9905555972
2015-10-13 11:30:00,Occupied,Zone 3,27.0609997312
2015-10-13 11:40:00,Occupied,Zone 3,27.1091249375
2015-10-13 11:50:00,Occupied,Zone 3,27.127638875
2015-10-13 12:00:00,Occupied,Zone 3,27.1721250813
2015-10-13 12:10:00,Occupied,Zone 3,27.253055493
2015-10-13 12:20:00,Occupied,Zone 3,27.2706251562
2015-10-13 12:30:00,Occupied,Zone 3,27.3244447639
2015-10-13 12:40:00,Occupied,Zone 3,27.2892500312
2015-10-13 12:50:00,Occupied,Zone 3,27.3158334583
2015-10-13 13:00:00,Occupied,Zone 3,27.3907500125
2015-10-13 13:10:00,Occupied,Zone 3,27.3738890694
2015-10-13 13:20:00,Occupied,Zone 3,27.4100003937
2015-10-13 13:30:00,Occupied,Zone 3,27.4187505
2015-10-13 13:40:00,Occupied,Zone 3,27.418875275
2015-10-13 13:50:00,Occupied,Zone 3,27.409125375
2015-10-13 14:00:00,Occupied,Zone 3,27.4923606458
2015-10-13 14:10:00,Occupied,Zone 3,27.4961247063
2015-10-13 14:20:00,Occupied,Zone 3,27.5158329305
2015-10-13 14:30:00,Occupied,Zone 3,27.4943746312
2015-10-13 14:40:00,Occupied,Zone 3,27.5382498687
2015-10-13 14:50:00,Occupied,Zone 3,27.5487496875
2015-10-13 15:00:00,Occupied,Zone 3,27.5619998125
2015-10-13 15:10:00,Occupied,Zone 3,27.5574998188
2015-10-13 15:20:00,Occupied,Zone 3,27.5854166458
2015-10-13 15:30:00,Occupied,Zone 3,27.6072499875
2015-10-13 15:40:00,Occupied,Zone 3,27.6294444445
2015-10-13 15:50:00,Occupied,Zone 3,27.62850005
2015-10-13 16:00:00,Occupied,Zone 3,27.6416250062
2015-10-13 16:10:00,Occupied,Zone 3,27.6947222847
2015-10-13 16:20:00,Occupied,Zone 3,27.6912500937
2015-10-13 16:30:00,Occupied,Zone 3,27.6991666667
2015-10-13 16:40:00,Occupied,Zone 3,27.7133752187
2015-10-13 16:50:00,Occupied,Zone 3,27.6463889167
2015-10-13 17:00:00,Occupied,Zone 3,27.7251251188
2015-10-14 09:00:00,Occupied,Zone 3,24.8937501875
2015-10-14 09:10:00,Occupied,Zone 3,25.1976389722
