Location,BoardRoom,BoardRoom,BoardRoom,BoardRoom,BoardRoom,BoardRoom,FinanceOffice1,FinanceOffice1,FinanceOffice1,FinanceOffice2,FinanceOffice2,FinanceOffice2,FinanceOffice3,FinanceOffice3,FinanceOffice3,FinanceSecretary,FinanceSecretary,HRDirector,HRDirector,HRDirector,HRMeeting,HRMeeting,HRMeeting,HROffice1,HROffice1,HROffice2,HROffice2,HeadofSchool,HeadofSchool,HeadofSchool,HeadofSchoolSecretary,HeadofSchoolSecretary,HeadofSchoolSecretary,OpenOffice,OpenOffice,OpenOffice,OpenOffice,OpenOffice,OpenOffice,OpenOffice,Pantry,Pantry,Pantry,Pantry,Pantry
DeviceNum,Num0,Num1,Num2,Num3,Num4,Num5,Num0,Num1,Num2,Num0,Num1,Num2,Num0,Num1,Num2,Num0,Num1,Num0,Num1,Num2,Num0,Num1,Num2,Num0,Num1,Num0,Num1,Num0,Num1,Num2,Num0,Num1,Num2,Num0,Num1,Num2,Num3,Num4,Num5,Num6,Num0,Num1,Num2,Num3,Num4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-29 16:05:00+08:00,58.0,58.0,59.0,62.0,60.6666666667,56.0,58.0,57.0,55.0,59.0,57.0,53.0,54.0,53.6666666667,55.3333333333,57.0,56.0,58.0,58.0,58.0,57.3333333333,58.0,58.3333333333,56.0,54.0,61.0,57.0,55.0,55.0,59.0,57.0,57.3333333333,56.0,60.0,59.0,63.0,58.3333333333,58.3333333333,56.0,58.6666666667,63.0,60.0,59.0,61.6666666667,60.0
2016-12-29 16:10:00+08:00,58.0,59.0,59.0,62.0,61.0,56.0,58.0,57.0,56.0,59.0,57.5,53.5,54.0,54.0,56.0,57.0,57.0,58.0,58.0,58.0,57.0,58.0,58.0,56.0,54.0,60.0,57.0,55.0,55.0,59.0,57.0,57.0,56.0,60.0,59.5,63.0,58.0,58.0,56.0,59.0,62.5,60.0,59.5,61.5,60.0
2016-12-29 16:15:00+08:00,58.0,60.0,59.0,62.0,61.0,56.0,58.0,58.0,56.0,59.0,58.0,53.6666666667,54.0,54.3333333333,57.0,57.0,57.0,58.0,58.0,58.0,57.0,58.0,58.3333333333,56.0,54.0,60.3333333333,57.0,55.0,55.0,59.0,57.0,57.6666666667,55.6666666667,60.0,60.0,63.0,59.0,59.0,56.0,59.0,63.3333333333,61.0,60.0,61.6666666667,60.3333333333
2016-12-29 16:20:00+08:00,58.0,59.0,59.0,62.0,61.0,56.0,58.0,58.0,56.0,59.0,59.0,54.0,54.0,55.0,57.5,57.0,57.5,58.0,58.0,58.0,57.0,58.0,58.0,56.5,54.0,60.0,57.0,55.0,55.0,59.0,57.0,58.0,56.0,61.0,60.0,63.0,59.0,59.0,56.0,59.5,64.5,61.0,60.0,62.5,61.0
2016-12-29 16:25:00+08:00,58.0,58.6666666667,59.0,62.0,61.0,56.0,58.3333333333,58.0,56.0,59.6666666667,59.0,54.0,55.0,55.0,57.0,57.0,58.0,58.0,58.0,58.0,57.0,57.6666666667,58.0,57.0,54.0,60.3333333333,57.0,55.3333333333,55.3333333333,59.0,57.0,58.0,56.0,61.0,60.0,63.0,59.0,59.0,56.0,59.0,63.3333333333,61.0,60.0,62.6666666667,61.0
2016-12-29 16:30:00+08:00,58.0,59.0,59.0,62.0,61.0,56.0,59.0,58.0,56.0,60.0,59.0,54.0,55.0,55.0,57.0,57.0,57.5,58.0,58.0,58.0,57.0,57.0,58.0,56.0,54.0,60.5,57.0,56.0,56.0,59.0,57.0,58.0,55.5,60.5,60.0,63.0,59.0,59.0,56.0,59.5,62.0,61.0,60.0,62.5,61.0
2016-12-29 16:35:00+08:00,58.0,60.0,59.0,62.0,61.0,56.0,59.0,58.6666666667,56.0,60.0,59.0,54.0,55.0,55.0,57.6666666667,57.0,58.0,58.0,58.0,58.0,57.0,57.3333333333,58.6666666667,56.0,54.0,60.6666666667,57.0,56.0,55.3333333333,59.0,57.0,58.0,55.6666666667,61.0,60.0,63.0,59.0,58.6666666667,56.0,59.3333333333,63.0,61.0,60.0,63.0,61.0
2016-12-29 16:40:00+08:00,58.0,60.0,59.0,62.0,61.0,56.0,59.0,59.0,56.0,60.0,59.0,54.0,55.0,55.0,58.0,58.0,58.0,59.0,58.0,58.0,57.0,57.5,59.0,57.0,54.0,61.0,57.0,56.0,56.0,59.0,57.0,58.0,56.0,61.0,60.0,63.0,59.0,58.5,56.0,60.0,62.0,62.0,60.5,62.0,61.5
2016-12-29 16:45:00+08:00,58.0,60.0,59.0,62.0,61.6666666667,56.0,59.0,59.0,56.0,60.0,59.6666666667,54.3333333333,55.0,55.0,58.0,58.0,58.0,59.0,58.0,58.0,57.0,57.0,58.0,57.0,54.0,61.0,57.0,56.0,56.0,59.0,57.0,58.0,56.0,61.0,61.0,63.0,59.0,58.6666666667,56.0,60.0,64.6666666667,62.0,61.0,63.0,61.6666666667
2016-12-29 16:50:00+08:00,58.0,60.0,59.0,62.0,62.0,56.0,59.0,59.0,56.0,60.0,60.0,54.0,55.0,55.0,58.0,58.0,58.0,59.0,58.0,58.0,57.0,57.0,58.0,57.0,54.0,61.0,57.0,56.0,56.0,59.0,57.0,58.0,56.0,61.0,61.0,63.0,59.0,59.0,56.0,60.0,64.0,62.0,61.0,63.0,62.0
