,B10_Area3for2_A_Ahu1_DOAS_FanSuEh_MdltSu,B10_Area3for2_A_Ahu2_DOAS_FanSuEh_MdltSu,B10_Area3for2_A_Ahu3_DOAS_FanSuEh_MdltSu,B10_Area3for2_A_Ahu4_DOAS_FanSuEh_MdltSu
2016-12-30 23:45:00+08:00,0.0,0.0,0.0,0.0
2016-12-30 23:50:00+08:00,0.0,0.0,0.0,0.0
2016-12-30 23:55:00+08:00,0.0,0.0,0.0,0.0
2016-12-31 00:00:00+08:00,0.0,0.0,0.0,0.0
2016-12-31 00:05:00+08:00,0.0,0.0,0.0,0.0
2016-12-31 00:10:00+08:00,0.0,0.0,0.0,0.0
2016-12-31 00:15:00+08:00,0.0,0.0,0.0,0.0
2016-12-31 00:20:00+08:00,0.0,0.0,0.0,0.0
2016-12-31 00:25:00+08:00,0.0,0.0,0.0,0.0
2016-12-31 00:30:00+08:00,0.0,0.0,0.0,0.0
2016-12-31 00:35:00+08:00,0.0,0.0,0.0,0.0
2016-12-31 00:40:00+08:00,0.0,0.0,0.0,0.0
2016-12-31 00:45:00+08:00,0.0,0.0,0.0,0.0
2016-12-31 00:50:00+08:00,0.0,0.0,0.0,0.0
2016-12-31 00:55:00+08:00,0.0,0.0,0.0,0.0
2016-12-31 01:00:00+08:00,0.0,0.0,0.0,0.0
2016-12-31 01:05:00+08:00,0.0,0.0,0.0,0.0
2016-12-31 01:10:00+08:00,0.0,0.0,0.0,0.0
2016-12-31 01:15:00+08:00,0.0,0.0,0.0,0.0
2016-12-31 01:20:00+08:00,0.0,0.0,0.0,0.0
2016-12-31 01:25:00+08:00,0.0,0.0,0.0,0.0
2016-12-31 01:30:00+08:00,0.0,0.0,0.0,0.0
2016-12-31 01:35:00+08:00,0.0,0.0,0.0,0.0
2016-12-31 01:40:00+08:00,0.0,0.0,0.0,0.0
2016-12-31 01:45:00+08:00,0.0,0.0,0.0,0.0
2016-12-31 01:50:00+08:00,0.0,0.0,0.0,0.0
2016-12-31 01:55:00+08:00,0.0,0.0,0.0,0.0
2016-12-31 02:00:00+08:00,0.0,0.0,0.0,0.0
2016-12-31 02:05:00+08:00,0.0,0.0,0.0,0.0
2016-12-31 02:10:00+08:00,0.0,0.0,0.0,0.0
2016-12-31 02:15:00+08:00,0.0,0.0,0.0,0.0
