,B10_Area3for2_A_Ahu1_DOAS_FanSuEh_FlSu,B10_Area3for2_A_Ahu2_DOAS_FanSuEh_FlSu,B10_Area3for2_A_Ahu2_FCU_FanRc_FlSu,B10_Area3for2_A_Ahu3_DOAS_FanSuEh_FlSu,B10_Area3for2_A_Ahu4_DOAS_FanSuEh_FlSu
2016-12-31 06:40:00+08:00,0.0,0.0,-0.0500000007451,-0.0750000011176,-0.0199999995529
2016-12-31 06:45:00+08:00,0.0,0.0,-0.0500000007451,-0.0333333338301,-0.0399999991059
2016-12-31 06:50:00+08:00,0.0,0.0,-0.0500000007451,-0.10000000149,-0.0199999995529
2016-12-31 06:55:00+08:00,0.0,0.0,-0.0500000007451,-0.050000000745,-0.0399999991059
2016-12-31 07:00:00+08:00,0.0,0.0,-0.0500000007451,-0.0750000011176,0.0
2016-12-31 07:05:00+08:00,-0.0133333330353,0.0,-0.0500000007451,-0.0666666676601,-0.0266666660706
2016-12-31 07:10:00+08:00,0.0,0.0,-0.0500000007451,-0.0500000007451,-0.039999999106
2016-12-31 07:15:00+08:00,-0.0133333330353,0.0,-0.0500000007451,-0.0666666676601,-0.0666666651766
2016-12-31 07:20:00+08:00,0.0,0.0,-0.0500000007451,-0.0500000007451,-0.0199999995529
2016-12-31 07:25:00+08:00,0.0,0.0,-0.0500000007451,-0.0666666676601,-0.0133333330353
2016-12-31 07:30:00+08:00,-0.0199999995529,0.0,-0.0500000007451,-0.10000000149,-0.0399999991059
2016-12-31 07:35:00+08:00,0.0,0.0,-0.0500000007451,-0.0666666676601,-0.0133333330353
2016-12-31 07:40:00+08:00,0.0,0.0,-0.0500000007451,-0.0750000011176,0.0
2016-12-31 07:45:00+08:00,-0.0133333330353,0.0,-0.0500000007451,-0.0666666676601,-0.0266666660706
2016-12-31 07:50:00+08:00,0.0,0.0,-0.0500000007451,-0.0500000007451,-0.0599999986589
2016-12-31 07:55:00+08:00,0.0,0.0,-0.0333333338301,-0.083333334575,-0.0133333330353
2016-12-31 08:00:00+08:00,0.0,0.0,-0.0250000003725,-0.10000000149,-0.0199999995529
2016-12-31 08:05:00+08:00,-0.0133333330353,0.0,-0.0500000007451,-0.0500000007451,-0.0266666660706
2016-12-31 08:10:00+08:00,0.0,0.0,-0.0500000007451,-0.0500000007451,-0.0199999995529
2016-12-31 08:15:00+08:00,0.0,0.0,-0.0333333338301,-0.050000000745,-0.0399999991059
2016-12-31 08:20:00+08:00,0.0,0.0,-0.0500000007451,-0.0500000007451,0.0
2016-12-31 08:25:00+08:00,-0.0133333330353,0.0,-0.0500000007451,-0.0500000007451,-0.0266666660706
2016-12-31 08:30:00+08:00,0.0,0.0,-0.0500000007451,-0.0500000007451,-0.0199999995529
2016-12-31 08:35:00+08:00,0.0,0.0,-0.016666666915,-0.0500000007451,-0.0133333330353
2016-12-31 08:40:00+08:00,0.0,0.0,-0.0500000007451,-0.0750000011176,0.0
2016-12-31 08:45:00+08:00,0.0,0.0,-0.0500000007451,-0.0500000007451,-0.0266666660706
2016-12-31 08:50:00+08:00,0.0,0.0,-0.0250000003725,-0.0500000007451,-0.0399999991059
2016-12-31 08:55:00+08:00,-0.0266666660706,0.0,-0.0500000007451,-0.083333334575,0.0
2016-12-31 09:00:00+08:00,0.0,0.0,-0.0500000007451,-0.0750000011176,0.0
2016-12-31 09:05:00+08:00,-0.0133333330353,0.0,-0.0500000007451,-0.0666666676601,0.0
2016-12-31 09:10:00+08:00,0.0,0.0,-0.0250000003725,-0.0500000007451,-0.039999999106
2016-12-31 09:15:00+08:00,-0.0266666660706,0.0,-0.0500000007451,-0.0666666676601,-0.0133333330353
2016-12-31 09:20:00+08:00,0.0,0.0,-0.0250000003725,-0.10000000149,-0.0199999995529
2016-12-31 09:25:00+08:00,0.0,0.0,-0.0500000007451,-0.0500000007451,-0.0266666660706
2016-12-31 09:30:00+08:00,0.0,0.0,-0.0250000003725,-0.0750000011176,0.0
2016-12-31 09:35:00+08:00,0.0,0.0,-0.0500000007451,-0.083333334575,-0.0266666660706
2016-12-31 09:40:00+08:00,-0.0199999995529,0.0,-0.0500000007451,-0.0750000011176,-0.0199999995529
2016-12-31 09:45:00+08:00,0.0,0.0,0.0,-0.0666666676601,-0.0266666660706
2016-12-31 09:50:00+08:00,0.0,0.0,-0.0500000007451,-0.050000000745,-0.0199999995529
2016-12-31 09:55:00+08:00,-0.0133333330353,0.0,-0.0333333338301,-0.0666666676601,-0.0399999991059
2016-12-31 10:00:00+08:00,-0.0199999995529,0.0,-0.0500000007451,-0.0750000011176,-0.0399999991059
2016-12-31 10:05:00+08:00,-0.0266666660706,0.0,-0.0500000007451,-0.0666666676601,-0.0266666660706
2016-12-31 10:10:00+08:00,0.0,0.0,-0.0750000011176,-0.0750000011176,-0.0399999991059
2016-12-31 10:15:00+08:00,-0.0133333330353,0.0,-0.0500000007451,-0.0500000007451,-0.0133333330353
2016-12-31 10:20:00+08:00,0.0,0.0,-0.0500000007451,-0.0500000007451,-0.0399999991059
2016-12-31 10:25:00+08:00,0.0,0.0,-0.0500000007451,-0.0500000007451,-0.0133333330353
2016-12-31 10:30:00+08:00,0.0,0.0,-0.0500000007451,-0.0500000007451,-0.0199999995529
2016-12-31 10:35:00+08:00,0.0,0.0,-0.0333333338301,-0.083333334575,-0.0399999991059
2016-12-31 10:40:00+08:00,0.0,0.0,-0.0250000003725,-0.0500000007451,-0.0399999991059
2016-12-31 10:45:00+08:00,0.0,0.0,-0.0500000007451,-0.083333334575,-0.0399999991059
2016-12-31 10:50:00+08:00,0.0,0.0,-0.0500000007451,-0.0750000011176,-0.0399999991059
2016-12-31 10:55:00+08:00,0.0,0.0,-0.0500000007451,-0.0666666676601,-0.0399999991059
2016-12-31 11:00:00+08:00,0.0,0.0,-0.0250000003725,-0.0500000007451,-0.0399999991059
2016-12-31 11:05:00+08:00,-0.0133333330353,0.0,-0.0333333338301,-0.0666666676601,-0.0266666660706
2016-12-31 11:10:00+08:00,0.0,0.0,-0.0500000007451,-0.0500000007451,-0.0199999995529
2016-12-31 11:15:00+08:00,0.0,0.0,-0.0500000007451,-0.0666666676601,-0.0266666660706
2016-12-31 11:20:00+08:00,0.0,0.0,-0.0500000007451,-0.0500000007451,0.0
2016-12-31 11:25:00+08:00,0.0,0.0,-0.0500000007451,-0.0500000007451,-0.0399999991059
2016-12-31 11:30:00+08:00,0.0,0.0,-0.0500000007451,-0.0500000007451,-0.0199999995529
2016-12-31 11:35:00+08:00,0.0,0.0,-0.0500000007451,-0.0500000007451,-0.0266666660706
2016-12-31 11:40:00+08:00,0.0,0.0,-0.0750000011176,-0.0500000007451,-0.0399999991059
2016-12-31 11:45:00+08:00,0.0,0.0,-0.0333333338301,-0.0666666676601,-0.0266666660706
2016-12-31 11:50:00+08:00,0.0,0.0,-0.0500000007451,-0.0750000011176,-0.0399999991059
2016-12-31 11:55:00+08:00,-0.0266666660706,0.0,-0.0500000007451,-0.0500000007451,-0.0266666660706
2016-12-31 12:00:00+08:00,0.0,0.0,-0.0500000007451,-0.0500000007451,0.0
2016-12-31 12:05:00+08:00,0.0,0.0,-0.0333333338301,-0.0666666676601,-0.0399999991059
2016-12-31 12:10:00+08:00,-0.0199999995529,0.0,-0.0500000007451,-0.0500000007451,0.0
2016-12-31 12:15:00+08:00,-0.0133333330353,0.0,-0.0666666676601,-0.0500000007451,-0.0133333330353
2016-12-31 12:20:00+08:00,0.0,0.0,-0.0500000007451,-0.0500000007451,-0.0199999995529
2016-12-31 12:25:00+08:00,-0.0133333330353,0.0,-0.0500000007451,-0.0666666676601,-0.0399999991059
2016-12-31 12:30:00+08:00,-0.0199999995529,0.0,-0.0500000007451,-0.0500000007451,-0.0199999995529
