,DOAS1,DOAS3,DOAS4
2017-02-12 17:45:00,-0.0133333330353,-0.0500000007451,-0.0399999991059
2017-02-12 17:50:00,-0.0199999995529,-0.0750000011176,-0.0399999991059
2017-02-12 17:55:00,0.0,-0.0666666676601,-0.0399999991059
2017-02-12 18:00:00,0.0,-0.0750000011176,-0.0199999995529
2017-02-12 18:05:00,-0.0266666660706,-0.083333334575,-0.0266666660706
2017-02-12 18:10:00,0.0,-0.10000000149,-0.0199999995529
2017-02-12 18:15:00,-0.0133333330353,-0.0666666676601,-0.0266666660706
2017-02-12 18:20:00,-0.0199999995529,-0.0750000011176,-0.0199999995529
2017-02-12 18:25:00,-0.0133333330353,-0.0500000007451,-0.0133333330353
2017-02-12 18:30:00,0.0,-0.0500000007451,-0.0199999995529
2017-02-12 18:35:00,-0.0266666660706,-0.0500000007451,-0.0266666660706
2017-02-12 18:40:00,0.0,-0.0500000007451,-0.0199999995529
2017-02-12 18:45:00,-0.0133333330353,-0.0666666676601,-0.0266666660706
2017-02-12 18:50:00,0.0,-0.0500000007451,-0.0399999991059
2017-02-12 18:55:00,0.0,-0.0666666676601,-0.0399999991059
2017-02-12 19:00:00,-0.0199999995529,-0.0500000007451,-0.0399999991059
2017-02-12 19:05:00,-0.0133333330353,-0.0500000007451,-0.0133333330353
2017-02-12 19:10:00,-0.0199999995529,-0.0500000007451,-0.0199999995529
2017-02-12 19:15:00,0.0,-0.0666666676601,-0.0266666660706
2017-02-12 19:20:00,0.0,-0.0750000011176,-0.0399999991059
2017-02-12 19:25:00,-0.0266666660706,-0.0500000007451,-0.0533333321412
2017-02-12 19:30:00,-0.0199999995529,-0.10000000149,-0.0399999991059
2017-02-12 19:35:00,0.0,-0.0666666676601,-0.0399999991059
2017-02-12 19:40:00,-0.0199999995529,-0.0500000007451,-0.0399999991059
2017-02-12 19:45:00,-0.0133333330353,-0.0500000007451,-0.0399999991059
2017-02-12 19:50:00,0.0,-0.0250000003725,-0.0399999991059
2017-02-12 19:55:00,-0.0266666660706,-0.0666666676601,-0.0399999991059
2017-02-12 20:00:00,-0.0199999995529,-0.050000000745,-0.0399999991059
2017-02-12 20:05:00,-0.0133333330353,-0.0666666676601,-0.0399999991059
2017-02-12 20:10:00,-0.0199999995529,-0.0750000011176,-0.0199999995529
2017-02-12 20:15:00,0.0,-0.0500000007451,-0.0399999991059
2017-02-12 20:20:00,-0.0199999995529,-0.0750000011176,-0.0399999991059
2017-02-12 20:25:00,0.0,-0.0500000007451,-0.0399999991059
2017-02-12 20:30:00,-0.0199999995529,-0.0500000007451,-0.0399999991059
2017-02-12 20:35:00,0.0,-0.0500000007451,-0.0399999991059
2017-02-12 20:40:00,0.0,-0.0500000007451,-0.0399999991059
2017-02-12 20:45:00,0.0,-0.083333334575,-0.0399999991059
2017-02-12 20:50:00,0.0,-0.0750000011176,-0.0399999991059
2017-02-12 20:55:00,-0.0133333330353,-0.083333334575,-0.0399999991059
2017-02-12 21:00:00,-0.0199999995529,-0.0750000011176,-0.0399999991059
2017-02-12 21:05:00,-0.0133333330353,-0.083333334575,-0.0266666660706
2017-02-12 21:10:00,-0.0399999991059,-0.10000000149,-0.0199999995529
2017-02-12 21:15:00,0.0,-0.083333334575,-0.0399999991059
2017-02-12 21:20:00,-0.0199999995529,-0.0500000007451,-0.0399999991059
2017-02-12 21:25:00,-0.0133333330353,-0.083333334575,-0.0266666660706
2017-02-12 21:30:00,-0.0199999995529,-0.0750000011176,-0.0399999991059
2017-02-12 21:35:00,0.0,-0.0500000007451,-0.0399999991059
2017-02-12 21:40:00,0.0,-0.0500000007451,-0.0399999991059
2017-02-12 21:45:00,0.0,-0.083333334575,-0.0133333330353
2017-02-12 21:50:00,0.0,-0.0750000011176,-0.0199999995529
2017-02-12 21:55:00,-0.0133333330353,-0.0666666676601,-0.0399999991059
2017-02-12 22:00:00,0.0,-0.0750000011176,-0.0399999991059
2017-02-12 22:05:00,-0.0133333330353,-0.0666666676601,-0.0399999991059
2017-02-12 22:10:00,0.0,-0.0750000011176,-0.0199999995529
2017-02-12 22:15:00,-0.0133333330353,-0.0666666676601,-0.0266666660706
2017-02-12 22:20:00,-0.0199999995529,-0.10000000149,-0.0399999991059
2017-02-12 22:25:00,-0.0133333330353,-0.083333334575,-0.0399999991059
2017-02-12 22:30:00,-0.0199999995529,-0.10000000149,-0.0399999991059
2017-02-12 22:35:00,-0.0133333330353,-0.083333334575,-0.0399999991059
2017-02-12 22:40:00,-0.0399999991059,-0.0750000011176,-0.0399999991059
2017-02-12 22:45:00,-0.0133333330353,-0.0666666676601,-0.0266666660706
2017-02-12 22:50:00,-0.0199999995529,-0.0500000007451,-0.0199999995529
2017-02-12 22:55:00,0.0,-0.0500000007451,-0.0266666660706
2017-02-12 23:00:00,-0.0199999995529,-0.0750000011176,-0.0399999991059
2017-02-12 23:05:00,-0.0133333330353,-0.0500000007451,-0.0266666660706
2017-02-12 23:10:00,-0.0199999995529,-0.0500000007451,-0.0399999991059
2017-02-12 23:15:00,0.0,-0.0666666676601,-0.0266666660706
2017-02-12 23:20:00,-0.0399999991059,-0.0500000007451,-0.0399999991059
2017-02-12 23:25:00,-0.0266666660706,-0.0666666676601,-0.0399999991059
2017-02-12 23:30:00,-0.0199999995529,-0.0500000007451,-0.0399999991059
2017-02-12 23:35:00,-0.0133333330353,-0.10000000149,-0.0399999991059
2017-02-12 23:40:00,-0.0199999995529,-0.0500000007451,-0.0399999991059
2017-02-12 23:45:00,0.0,-0.0500000007451,-0.0399999991059
2017-02-12 23:50:00,-0.0399999991059,-0.0500000007451,-0.0399999991059
2017-02-12 23:55:00,0.0,-0.0666666676601,-0.0399999991059
2017-02-13 00:00:00,0.0,-0.0500000007451,-0.0399999991059
2017-02-13 00:05:00,-0.0133333330353,-0.083333334575,-0.0399999991059
2017-02-13 00:10:00,0.0,-0.0750000011176,-0.0399999991059
2017-02-13 00:15:00,0.0,-0.083333334575,-0.0399999991059
2017-02-13 00:20:00,-0.0199999995529,-0.0750000011176,-0.0399999991059
2017-02-13 00:25:00,-0.0133333330353,-0.10000000149,-0.0399999991059
2017-02-13 00:30:00,-0.0199999995529,-0.0500000007451,-0.0199999995529
2017-02-13 00:35:00,-0.0133333330353,-0.0500000007451,-0.0266666660706
2017-02-13 00:40:00,-0.0199999995529,-0.0500000007451,-0.0199999995529
2017-02-13 00:45:00,-0.0399999991059,-0.0666666676601,-0.0266666660706
2017-02-13 00:50:00,-0.0199999995529,-0.0500000007451,-0.0199999995529
2017-02-13 00:55:00,-0.0133333330353,-0.0500000007451,0.0
2017-02-13 01:00:00,-0.0199999995529,-0.0500000007451,-0.0399999991059
