,Zones,Value,Occupancy Type,Unit
166,Zone 3,23.253748,Working Hours,Particles [micrograms/m3]
167,Zone 3,19.315132,Working Hours,Particles [micrograms/m3]
168,Zone 3,19.951676,Working Hours,Particles [micrograms/m3]
169,Zone 3,17.465176,Working Hours,Particles [micrograms/m3]
170,Zone 3,17.365716,Working Hours,Particles [micrograms/m3]
171,Zone 3,14.799648,Working Hours,Particles [micrograms/m3]
172,Zone 3,22.239256,Working Hours,Particles [micrograms/m3]
173,Zone 3,19.3947,Working Hours,Particles [micrograms/m3]
174,Zone 3,24.626296,Working Hours,Particles [micrograms/m3]
175,Zone 3,19.712972,Working Hours,Particles [micrograms/m3]
176,Zone 3,19.076428,Working Hours,Particles [micrograms/m3]
177,Zone 3,19.076428,Working Hours,Particles [micrograms/m3]
178,Zone 3,17.783448,Working Hours,Particles [micrograms/m3]
179,Zone 3,17.485068,Working Hours,Particles [micrograms/m3]
180,Zone 3,17.286148,Working Hours,Particles [micrograms/m3]
181,Zone 3,16.788848,Working Hours,Particles [micrograms/m3]
182,Zone 3,17.882908,Working Hours,Particles [micrograms/m3]
183,Zone 3,23.751048,Working Hours,Particles [micrograms/m3]
184,Zone 3,19.155996,Working Hours,Particles [micrograms/m3]
185,Zone 3,18.59902,Working Hours,Particles [micrograms/m3]
186,Zone 3,18.79794,Working Hours,Particles [micrograms/m3]
187,Zone 3,18.479668,Working Hours,Particles [micrograms/m3]
188,Zone 3,20.150596,Working Hours,Particles [micrograms/m3]
189,Zone 3,17.266256,Working Hours,Particles [micrograms/m3]
190,Zone 3,17.30604,Working Hours,Particles [micrograms/m3]
191,Zone 3,16.570036,Working Hours,Particles [micrograms/m3]
192,Zone 3,18.8974,Working Hours,Particles [micrograms/m3]
193,Zone 3,16.848524,Working Hours,Particles [micrograms/m3]
194,Zone 3,16.749064,Working Hours,Particles [micrograms/m3]
195,Zone 3,20.628004,Working Hours,Particles [micrograms/m3]
196,Zone 3,20.727464,Working Hours,Particles [micrograms/m3]
197,Zone 3,20.48876,Working Hours,Particles [micrograms/m3]
198,Zone 3,19.136104,Working Hours,Particles [micrograms/m3]
199,Zone 3,18.758156,Working Hours,Particles [micrograms/m3]
200,Zone 3,16.947984,Working Hours,Particles [micrograms/m3]
201,Zone 3,19.036644,Working Hours,Particles [micrograms/m3]
202,Zone 3,18.141504,Working Hours,Particles [micrograms/m3]
203,Zone 3,19.136104,Working Hours,Particles [micrograms/m3]
204,Zone 3,23.731156,Working Hours,Particles [micrograms/m3]
205,Zone 3,21.3839,Working Hours,Particles [micrograms/m3]
206,Zone 3,18.69848,Working Hours,Particles [micrograms/m3]
207,Zone 3,23.27364,Working Hours,Particles [micrograms/m3]
208,Zone 3,19.036644,Working Hours,Particles [micrograms/m3]
209,Zone 3,18.678588,Working Hours,Particles [micrograms/m3]
210,Zone 3,19.99146,Working Hours,Particles [micrograms/m3]
211,Zone 3,19.454376,Working Hours,Particles [micrograms/m3]
212,Zone 3,23.054828,Working Hours,Particles [micrograms/m3]
213,Zone 3,20.628004,Working Hours,Particles [micrograms/m3]
214,Zone 3,18.340424,Working Hours,Particles [micrograms/m3]
215,Zone 3,18.20118,Working Hours,Particles [micrograms/m3]
216,Zone 3,19.474268,Working Hours,Particles [micrograms/m3]
217,Zone 3,19.533944,Working Hours,Particles [micrograms/m3]
218,Zone 3,22.060228,Working Hours,Particles [micrograms/m3]
219,Zone 3,21.920984,Working Hours,Particles [micrograms/m3]
220,Zone 3,22.736556,Working Hours,Particles [micrograms/m3]
221,Zone 3,18.817832,Working Hours,Particles [micrograms/m3]
222,Zone 3,22.617204,Working Hours,Particles [micrograms/m3]
223,Zone 3,21.105412,Working Hours,Particles [micrograms/m3]
224,Zone 3,23.532236,Working Hours,Particles [micrograms/m3]
225,Zone 3,24.944568,Working Hours,Particles [micrograms/m3]
226,Zone 3,23.930076,Working Hours,Particles [micrograms/m3]
227,Zone 3,24.109104,Working Hours,Particles [micrograms/m3]
228,Zone 3,21.304332,Working Hours,Particles [micrograms/m3]
229,Zone 3,20.906492,Working Hours,Particles [micrograms/m3]
230,Zone 3,25.780032,Working Hours,Particles [micrograms/m3]
231,Zone 3,27.610096,Working Hours,Particles [micrograms/m3]
232,Zone 3,21.940876,Working Hours,Particles [micrograms/m3]
233,Zone 3,21.8812,Working Hours,Particles [micrograms/m3]
234,Zone 3,28.14718,Working Hours,Particles [micrograms/m3]
235,Zone 3,21.940876,Working Hours,Particles [micrograms/m3]
236,Zone 3,24.506944,Working Hours,Particles [micrograms/m3]
237,Zone 3,21.702172,Working Hours,Particles [micrograms/m3]
238,Zone 3,22.219364,Working Hours,Particles [micrograms/m3]
239,Zone 3,20.767248,Working Hours,Particles [micrograms/m3]
240,Zone 3,21.364008,Working Hours,Particles [micrograms/m3]
241,Zone 3,19.852216,Working Hours,Particles [micrograms/m3]
242,Zone 3,19.414592,Working Hours,Particles [micrograms/m3]
243,Zone 3,21.264548,Working Hours,Particles [micrograms/m3]
244,Zone 3,19.275348,Working Hours,Particles [micrograms/m3]
245,Zone 3,20.349516,Working Hours,Particles [micrograms/m3]
246,Zone 3,20.628004,Working Hours,Particles [micrograms/m3]
247,Zone 3,21.841416,Working Hours,Particles [micrograms/m3]
248,Zone 3,20.369408,Working Hours,Particles [micrograms/m3]
249,Zone 3,19.971568,Working Hours,Particles [micrograms/m3]
250,Zone 3,19.374808,Working Hours,Particles [micrograms/m3]
251,Zone 3,18.280748,Working Hours,Particles [micrograms/m3]
252,Zone 3,18.479668,Working Hours,Particles [micrograms/m3]
253,Zone 3,19.275348,Working Hours,Particles [micrograms/m3]
254,Zone 3,18.161396,Working Hours,Particles [micrograms/m3]
255,Zone 3,20.051136,Working Hours,Particles [micrograms/m3]
256,Zone 3,19.136104,Working Hours,Particles [micrograms/m3]
257,Zone 3,18.20118,Working Hours,Particles [micrograms/m3]
