Location,Zone 1,Zone 2,Zone 3,Zone 4
2017-02-12 04:25:00,25.7666676839,25.7978776296,25.0000012715,25.8000011444
2017-02-12 04:30:00,25.8000011444,25.8018169404,25.2500009537,25.8000011444
2017-02-12 04:35:00,25.8000011444,25.8057778676,25.100001653,25.8000011444
2017-02-12 04:40:00,25.7000007629,25.8021717072,25.5500011444,25.8000011444
2017-02-12 04:45:00,25.7333342234,25.8129901886,25.100001653,25.8333346049
2017-02-12 04:50:00,25.8000011444,25.8095026016,25.2500009537,25.8000011444
2017-02-12 04:55:00,25.8000011444,25.8111165365,25.0666681925,25.8666680654
2017-02-12 05:00:00,25.7500009537,25.8060150146,25.1000003815,25.8500013351
2017-02-12 05:05:00,25.8000011444,25.8106651306,25.4000015259,25.8333346049
2017-02-12 05:10:00,25.8000011444,25.8133296967,25.3000011444,25.8500013351
2017-02-12 05:15:00,25.7666676839,25.8208796184,25.3666674296,25.8666680654
2017-02-12 05:20:00,25.7500009537,25.817155838,25.1000003815,25.9000015259
2017-02-12 05:25:00,25.7666676839,25.821114858,25.1000010172,25.8333346049
2017-02-12 05:30:00,25.8000011444,25.817155838,25.2500009537,25.8500013351
2017-02-12 05:35:00,25.8000011444,25.821114858,25.2666676839,25.8333346049
2017-02-12 05:40:00,25.8000011444,25.828327179,25.4000015259,25.9000015259
2017-02-12 05:45:00,25.8000011444,25.8285630544,25.5666681925,25.8333346049
2017-02-12 05:50:00,25.7000007629,25.8213500977,25.3000011444,25.8500013351
2017-02-12 05:55:00,25.7666676839,25.8262265524,25.3000011444,25.8666680654
2017-02-12 06:00:00,25.7500009537,25.8359794617,25.3000011444,25.9000015259
2017-02-12 06:05:00,25.8000011444,25.8287881216,25.1333344777,25.9000015259
2017-02-12 06:10:00,25.7500009537,25.8325071335,25.2500009537,25.9000015259
2017-02-12 06:15:00,25.7666676839,25.8362267812,25.4000015259,25.9000015259
2017-02-12 06:20:00,25.8000011444,25.8290348053,25.3000011444,25.8500013351
